,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price,Property Age,Renovation Age
0,7,8.0,13540,307752,3.0,0,4,3,12,9410,4130,4850,217800,1,55,2280000,17,0
1,6,7.75,9890,31374,2.0,0,4,3,13,8860,1030,4540,42730,2,75,6890000,15,0
2,6,8.0,12050,27600,2.5,0,3,4,13,8570,3480,3940,8800,1,50,7700000,106,29
3,5,6.25,8020,21738,2.0,0,0,3,11,8020,0,4160,18969,3,63,3300000,15,0
4,5,4.5,10040,37325,2.0,1,2,3,11,7680,2360,3930,25449,3,67,7060000,76,15
5,5,4.0,7320,217800,2.0,0,0,3,11,7320,0,3270,34500,3,58,1140000,24,0
6,4,4.5,6640,53330,2.0,0,0,3,12,6640,0,4620,68625,2,75,1820000,23,0
7,4,3.0,6430,27517,2.0,0,0,3,12,6430,0,3720,14592,1,71,4490000,15,0
8,5,6.5,7270,130017,2.0,0,0,3,12,6420,850,1800,44890,1,68,2240000,6,0
9,4,4.5,6380,88714,2.0,0,0,3,12,6380,0,3040,7113,3,80,1820000,10,0
10,5,5.5,7400,18898,2.0,0,3,3,13,6290,1110,6110,26442,1,58,2980000,15,0
11,5,5.75,9200,35069,2.0,0,0,3,13,6200,3000,3560,24345,1,53,5570000,15,0
12,5,6.25,8670,64033,2.0,0,4,3,13,6120,2550,4140,81021,3,78,2890000,51,13
13,4,5.25,6110,10369,2.0,0,0,3,11,6110,0,4190,10762,1,59,1320000,11,0
14,8,4.0,7710,11750,3.5,0,0,5,12,6090,1620,4210,8325,2,66,3300000,112,0
15,5,4.5,6085,142725,3.0,0,0,3,11,6085,0,4830,128457,2,62,1610000,16,0
16,5,4.25,6070,171626,2.0,0,0,3,12,6070,0,4680,211267,1,55,1550000,17,0
17,5,4.5,6070,5432,2.0,0,0,3,11,6070,0,4750,13404,2,60,1570000,12,0
18,6,5.0,6050,230652,2.0,0,3,3,11,6050,0,4210,233971,1,50,1600000,15,0
19,4,3.5,5990,111078,2.0,0,0,3,11,5990,0,4690,118918,3,68,1530000,12,0
20,5,5.25,8010,45517,2.0,1,4,3,12,5990,2020,3430,26788,2,60,5110000,17,0
21,4,3.75,7620,29536,2.0,0,3,3,11,5980,1640,2840,20809,2,76,1680000,11,0
22,4,3.5,5844,10766,2.0,0,1,3,11,5844,0,3413,10766,1,67,1280000,9,0
23,4,3.5,5830,131116,2.0,0,0,3,11,5830,0,5340,207206,2,50,1580000,11,0
24,4,4.25,5770,21300,2.0,1,4,4,11,5770,0,4620,22748,3,62,3850000,36,0
25,4,5.5,7080,16573,2.0,0,0,3,12,5760,1320,3140,15996,3,53,4000000,8,0
26,4,4.25,5710,24663,2.0,0,0,3,11,5710,0,4060,23847,2,51,930000,9,0
27,4,4.25,6410,43838,2.5,0,2,4,12,5610,800,2270,6630,3,61,2730000,110,0
28,4,4.25,5584,68257,2.0,0,0,3,11,5584,0,5030,101901,3,67,1680000,18,0
29,4,4.25,5550,12968,2.0,0,0,3,11,5550,0,4750,13001,3,77,1500000,11,0
